prefix,site,vlan,status,role,is_pool,description,tags
10.10.10.0/24,SMS Pangyo,10,active,,True,관리 네트워크 대역 (IPMI/iLO),management
10.100.10.0/24,SMS Pangyo,100,active,,True,웹 서버 DMZ 대역 (사내 포털),"web,dmz"
10.100.20.0/24,SMS Pangyo,110,active,,True,웹 서버 외부 대역 (고객 SaaS),"web,external"
10.200.10.0/24,SMS Pangyo,200,active,,True,애플리케이션 서버 대역,app
10.200.20.0/24,SMS Pangyo,200,active,,False,애플리케이션 서버 대역 (추가),app
10.210.10.0/24,SMS Pangyo,210,active,,True,데이터베이스 서버 대역,database
10.210.20.0/24,SMS Pangyo,211,active,,True,데이터베이스 Private 대역 (RAC Interconnect),"database,private"
10.220.10.0/24,SMS Pangyo,220,active,,True,메일 서버 대역,mail
10.230.10.0/24,SMS Pangyo,230,active,,True,인프라 서버 대역 (AD/DNS/DHCP),infrastructure
10.240.10.0/24,SMS Pangyo,240,active,,True,스토리지 대역 (NAS/SAN),storage
10.250.10.0/24,SMS Pangyo,250,active,,True,백업 대역,backup
10.252.10.0/24,SMS Pangyo,252,active,,True,모니터링 대역 (Zabbix/ELK),monitoring
10.253.10.0/24,SMS Pangyo,253,active,,True,개발/스테이징 대역,development
10.254.10.0/24,SMS Pangyo,254,active,,True,테스트 대역 (제품 테스트용),test
192.168.1.0/24,SMS Pangyo,,active,,False,공인 IP 대역 (외부 서비스용),"public,external"
